Designator,Mid X,Mid Y,Rotation,Layer
C1,54.61,21.069,270.0,top
C10,73.52102,6.171559,90.0,top
C11,82.423,7.76,270.0,top
C12,80.01,8.46,270.0,top
C13,14.775,20.828,0.0,top
C2,52.728748,21.069,270.0,top
C3,84.328,7.76,270.0,top
C4,30.975,29.932419,0.0,top
C5,30.988,33.02,0.0,top
C6,24.13,17.753461,270.0,top
C7,67.31,5.855,90.0,top
C8,69.215,5.855,90.0,top
C9,71.12,5.855,90.0,top
Ch1_CS1,37.091785,30.54921,0.0,top
Ch1_CS2,37.088798,34.848313,270.0,top
Ch1_CS3,35.504206,32.311457,0.0,top
Ch1_CS4,38.679206,32.311457,0.0,top
Ch1_RS1,35.504206,37.391457,180.0,top
Ch1_RS2,38.679206,37.391457,180.0,top
Ch1_RS3,34.869206,34.851457,90.0,top
Ch1_RS4,39.314206,34.851457,90.0,top
Ch1_RS5,38.689583,39.369092,0.0,top
Ch2_CS1,45.987048,30.599455,0.0,top
Ch2_CS2,45.978798,34.848313,270.0,top
Ch2_CS3,44.401943,32.325877,0.0,top
Ch2_CS4,47.576943,32.325877,0.0,top
Ch2_RS1,44.401943,37.405877,180.0,top
Ch2_RS2,47.576943,37.405877,180.0,top
Ch2_RS3,43.766943,34.865877,270.0,top
Ch2_RS4,48.211943,34.865877,270.0,top
Ch2_RS5,47.566564,39.386726,0.0,top
Ch3_CS1,54.860547,30.525203,0.0,top
Ch3_CS2,54.868798,34.848313,270.0,top
Ch3_CS3,53.277039,32.316563,0.0,top
Ch3_CS4,56.452039,32.316563,0.0,top
Ch3_RS1,53.277039,37.396563,180.0,top
Ch3_RS2,56.452039,37.396563,180.0,top
Ch3_RS3,52.642039,34.856563,270.0,top
Ch3_RS4,57.087039,34.856563,270.0,top
Ch3_RS5,56.451773,39.383001,0.0,top
D1,58.896,5.08,180.0,top
D10,54.61,16.764,90.0,top
D11,52.728748,16.764,90.0,top
D12,19.558,23.495,90.0,top
D2,8.636,9.2,0.0,top
D3,8.636,11.2,0.0,top
D4,8.636,7.2,0.0,top
D5,8.636,3.2,0.0,top
D6,49.53,15.24,270.0,top
D7,46.355,15.24,270.0,top
D8,35.395735,51.435,270.0,top
D9,33.576853,51.436857,270.0,top
FB1,60.96,8.89,90.0,top
J1,68.126618,20.036792,45.0,top
R1,81.926988,4.185853,270.0,top
R11,35.395735,46.355,90.0,top
R12,14.986,17.78,0.0,top
R3,33.576853,46.356857,270.0,top
R4,80.015986,4.185853,90.0,top
RJ1,45.085,51.552979,180.0,top
RV1,24.088393,57.515023,270.0,top
SW1,19.05,55.245,90.0,top
SW2,21.59,45.085,0.0,top
SW3,21.59,33.655,0.0,top
SW4,6.985,56.515,0.0,top
SW5,6.985,45.085,0.0,top
SW6,6.985,33.655,0.0,top
U1,46.355,21.59,270.0,top
U2,29.21,19.685,0.0,top
U3,76.835,5.963554,90.0,top
U4,57.785,9.525,0.0,top
X2,34.0,3.175,0.0,top
